category_id	title	availability	group_type	descript	notes
112	T2-weighted brain MRI	0	1	T2-weighted imaging is a structural technique with contrast dominated by signal decay from interactions between water molecules (T2 relaxation times). Image intensity is primarily related to pathology, with relatively subtle signal differences between grey and white matter. T2-weighted images depict alterations to tissue compartments typically associated with pathology (e.g., white matter lesions). <p> After early piloting, a standard T2/PD-weighted acquisition was dropped due to a combination of factors such as overall value and timing practicalities.	This category primarily refers to the T2 FLAIR structural scan. <p> The T2/PD scan was originally tentatively included as a standard protocol in diagnostic imaging for the detection of some pathologies. Consultation with research experts concluded it has little or no value to the research questions UK Biobank is likely to investigate. Further, the b=0 dMRI scans can to some extent be used as a surrogate for this. Hence in the face of overall scan time pressure, the T2/PD scan was dropped from the protocol during the pilot.
113	Local environment	0	1	Properties of the local environment around participants.	
114	Residential air pollution	0	1	This category contains data on local environmental exposures, conducted by the Small Area Health Statistics Unit (http://www.sahsu.org/) as part of the BioSHaRE-EU Environmental Determinants of Health Project (http://www.bioshare.eu/). The aim of the BioSHaRE-EU Environmental Determinants of Health Project is to harmonize environmental exposures from multiple biobanks in different countries. UK Biobank is a participating biobank in this project. <p> Air pollution estimates for the year 2010 were modelled for each address using a Land Use Regression (LUR) model developed as part of the European Study of Cohorts for Air Pollution Effects (ESCAPE, http://www.escapeproject.eu/), funded under the EU 7th Framework Programme (for references see below). The LUR model is based on ESCAPE monitoring done between 26 January 2010 - 18 January 2011, and air pollution estimates are representative for the year 2010. Traffic variables were calculated during the course of LUR based on Eurostreets (vs 3.1) digital road network for the year 2008. <p> Please note that the ESCAPE estimates for particulates are valid up to 400km from the monitoring area, which was in Greater London, but it is unclear how good the estimates are outside this area. All addresses which are more than 400km away from Greater London are not assigned PM10, PM2.5, PM2.5 absorbance and PM coarse concentrations and have missing data instead (number of records: 33,935). For more information on the individual models please see the ESCAPE project website: http://www.escapeproject.eu. <p> Air pollution estimates for the years 2005-2007 were derived from EU-wide air pollution maps (resolution 100 metre x 100 metre). The x,y-coordinates of UK Biobank participants were overlaid with these maps (projected to British National Grid) and the corresponding air pollution concentration of the 100 metre x 100 metre grid cell were assigned to the coordinate. EU-wide air pollution maps were modelled based on a LUR model for Europe which also includes satellite derived air pollution estimates to improve the model performance. For details of the model and model performance see: Vienneau D, de Hoogh K, Bechle MJ, Beelen R, van Donkelaar A, Martin RV, Millet DB, Hoek G, Marshall JD. 2013. Western European land use regression incorporating satellite- and ground-based measurements of NO2 and PM10. Environmental Science and Technology 47(23): 13555-13564.	
115	Residential noise pollution	0	1	This category contains data on local environmental exposures, conducted by the Small Area Health Statistics Unit (http://www.sahsu.org/) as part of the BioSHaRE-EU Environmental Determinants of Health Project (http://www.bioshare.eu/). The aim of the BioSHaRE-EU Environmental Determinants of Health Project is to harmonize environmental exposures from multiple biobanks in different countries. UK Biobank is a participating Biobank in this project <p> Noise estimates for the year 2009 were modelled using a version of the CNOSSOS-EU noise model. These Common NOise aSSessment methOdS (CNOSSOS) are recommended by the European Noise Directive 2002/49/EC. <p> Noise pollution estimates for the year 2010 were modelled for each address using a Land Use Regression (LUR) model developed as part of the European Study of Cohorts for Air Pollution Effects (ESCAPE) (http://www.escapeproject.eu/), funded under the EU 7th Framework Programme (for references see below). The LUR model is based on ESCAPE monitoring done between 26 January 2010 - 18 January 2011, and air pollution estimates are representative for the year 2010. Traffic variables were calculated during the course of LUR based on Eurostreets (vs 3.1) digital road network for the year 2008.	
116	Cognitive function online	0	1	Several of the cognitive function tests administered via touchscreen during the initial assessment visit were re-implemented as web-based questionnaires and participants were invited to complete them remotely. Two additional tests were also included. <p>The order of the tests was <ol> <li>Mood</li> <li>Fluid intelligence</li> <li>Trail making</li> <li>Symbol digit substitution</li> <li>Pairs matching</li> <li>Numeric memory</li> </ol> <p> A reaction time test was also performed however the results were felt to be of insufficient quality to present due to inconsistencies in the timing routines of the various browsers and devices used by participants to perform the test.	
117	Pairs matching	0	1	This category contains data on 'pairs' matching tests. Participants are asked to memorise the position of as many matching pairs of cards as possible. The cards are then turned face down on the screen and the participant is asked to touch as many pairs as possible in the fewest tries. <p> Either two or three rounds were conducted. The first round used 3 pairs of cards, the second 6 pairs of cards and the third 8 pairs of cards. Participants were only presented with the third round if they made 0 or 1 errors on the second round. <p> For non-specialists, the primary item of interest is likely to be ~F20132~. <p> This measure was also performed in clinics using a touchscreen in ~L100030~.	
118	Fluid intelligence	0	1	This category contains data on questions designed to assess 'Fluid intelligence' (i.e. the capacity to solve problems that require logic and reasoning ability, independent of acquired knowledge). The participant has 2 minutes to complete as many questions as possible from the test. <p> For non-specialists, the primary item of interest is ~F20191~. <p> This measure was also performed in clinics using a touchscreen in ~L100027~.	
120	Numeric memory	0	1	This category contains data on a test designed to assess numeric short-term memory, as part of the touchscreen questionnaire. The participant was shown a 2-digit number to remember. The number then disappeared and after a short while they were asked to enter the number onto the screen. The number became one digit longer each time they remembered correctly (up to a maximum of 12 digits). Data collected include the number of digits and value of the number, the length of time the number was displayed, the time that the participant first entered and last entered a digit, the time taken to complete the test, the value of the number entered by the participant, whether or not the participant was correct, the maximum number of digits remembered, and whether the test was completed. This test is available for a subset of participants. <p> This measure was also performed in clinics using a touchscreen in ~L100029~.	
121	Trail making	0	1	Participants were presented with a series of labelled circles and instructed to touch them according to a particular ordering rule. <p> Note that all results begin at the second item in each trail since the test is initiated by the participant correctly clicking on the first item at which point the timer is started. <p> This measure was also performed in clinics using a touchscreen in ~L505~.	
122	Symbol digit substitution	0	1	Participants were presented with a series of grids in which symbols were to be matched to numbers according to a key presented on the screen. <p> The values for ~F20198~, ~F20200~, ~F20229~ and ~F20230~ must be considered together as the corresponding entries in them relate to the same challenge/response pair. <p> This measure was also performed in clinics using a touchscreen in ~L502~.	
123	Work environment	0	1	This category will contains the result for the online Healthy Work questionnaire conducted from June through September 2015. Results are expected to be finalised in Q4/15.	
124	Body composition by DXA	0	1	Body composition results derived from DXA measurements in UK Biobank assessment centre.	
125	Bone size, mineral and density by DXA	0	1	Bone composition results derived from DXA measurements in UK Biobank assessment centre.	
126	Liver MRI	0	1	Liver MRI images and derived data.	
127	Process authorisation	0	1	Indicates the member of staff who signed-off various stages/operations within the UK Biobank Assessment centres to confirm that they are a valid and correct record of what had taken place.	The original staff usernames have been replaced by arbitrary numeric IDs to preserve confidentiality. <p> Note that (with the exception of Welcome and Consent) not all participants completed every stage and process. The absence of a record here indicates that the participant did not complete the corresponding stage/process.
128	Pulse wave analysis	0	1	Pulse wave analysis and blood pressure measurement was carried out using a vicorder instrument during the heart MRI scan.	
129	Process completion times	0	1	Times when sections within the Assessment Centre were completed (i.e. signed-off by an appropriately qualified member of UK Biobank staff).	Note that (with the exception of Welcome and Consent) not all participants completed every stage and process. The absence of a record here indicates that the participant did not complete the corresponding stage/process.
130	Employment history	0	1	Participants were asked to enumerate their work history. Periods of 6 months or longer during which they were in paid full time employment for at least 15 hours each week have been labelled "jobs", with all other periods labelled "gaps". <p> Additional information about employment at the time of visiting a UK Biobank clinic is presented in ~L100064~.	
131	Pancreas MRI	0	1	Pancreas MRI images and derived data.	
132	Medical information	0	1	Medical information gathered during the working environment questionnaire.	
133	Left ventricular size and function	0	1	Left ventricular size and function, automatically derived from Heart MRI data (inlineVF).	
134	dMRI skeleton	0	1	Diffusion MRI skeleton measurements	
135	dMRI weighted means	0	1	Diffusion MRI weighted means	
136	Mental health	0	1	Results of the on-line mental health self-assessment questionnaire issued in 2016.	
137	Mental distress	0	1	Mental distress reported within the on-line mental health questionnaire.	
138	Depression	0	1	Depression reported within the on-line mental health questionnaire.	
139	Mania	0	1	Mania reported within the on-line mental health questionnaire.	
140	Anxiety	0	1	Anxiety reported within the on-line mental health questionnaire.	
141	Addictions	0	1	Addictions reported within the on-line mental health questionnaire.	
142	Alcohol use	0	1	Alcohol use reported within the on-line mental health questionnaire.	
143	Cannabis use	0	1	Cannabis use reported within the on-line mental health questionnaire.	
144	Unusual and psychotic experiences	0	1	Unusual and psychotic experiences reported within the on-line mental health questionnaire.	
145	Traumatic events	0	1	Traumatic events reported within the on-line mental health questionnaire.	
146	Self-harm behaviours	0	1	Self-harm behaviours reported within the on-line mental health questionnaire.	
147	Happiness and subjective well-being	0	1	Happiness and subjective well-being reported within the on-line mental health questionnaire.	
148	Urine processing	0	1	Urine processing metrics.	
149	Abdominal composition	0	1	This category contains derived data from the abdominal MRI, which were supplied by AMRA (Advanced MR Analytics AB, AMRA, Sweden). Methods on how these fields were derived are described in the OpenAccess publications: <p> West J, Dahlqvist Leinhard O, Romu T, Collins R, Garratt S, Bell JD, et al. (2016) Feasibility of MR-Based Body Composition Analysis in Large Scale Population Studies. PLoS ONE 11(9): e0163332. doi:10.1371/journal.pone.0163332 <p> Borga M, West J, Bell JD, et al. (2018) Advanced body composition assessment: from body mass index to body composition profiling. Journal of Investigative Medicine 66 (5). doi: 10.1136/jim-2018-000722 <p> which are available as ~R163332~ and ~R2166~ in the Resources tab. When using the data for research purposes, the following publications may also be of interest: <ul> <li>Dahlqvist Leinhard O, Johansson A, Rydell J, et al., editors. Quantitative abdominal fat estimation using MRI. Proceedings of the 19th International Conference on Pattern Recognition (ICPR); 2008.</li> <li>Karlsson A, Rosander J, Romu T, et al. Automatic and quantitative assessment of regional muscle volume by multi-atlas segmentation using whole-body water-fat MRI. Journal of magnetic resonance imaging: JMRI. 2014. doi: 10.1002/jmri.24726 PMID: 25111561.</li> <li>Borga M, Thomas LE, Romu T, Rosander J, et al. Validation of a fast method for quantification of intra-abdominal and subcutaneous adipose tissue for large scale human studies. NMR in biomedicine. 2015; 28(12):1747-53. doi: 10.1002/nbm.3432 PMID: 26768490</li> <li>West J, Dahlqvist Leinhard O, Romu T, et al. (2016) Feasibility of MR-Based Body Composition Analysis in Large Scale Population Studies. PLoS ONE 11(9): e0163332. doi:10.1371/journal.pone.0163332</li> <ul>	
150	Home locations	0	1	This section holds information on the geographical location of the home addresses of participants before, at and after recruitment. The co-ordinates presented were derived from UK postcode information obtained from a variety of sources including self-report by participants.	
151	Greenspace and coastal proximity	0	1	This category contains environmental indicators relating to greenspace exposure and distance to the coast that was attributed to participants based on home location grid references. The data linkage was undertaken by the European Centre for Environment and Human Health, University of Exeter Medical School. The available metrics include: <ul> <li>Greenspace estimates (at 1000m and 300m home location buffers);</li> <li>Land coverage estimates (for domestic gardens and water) (at 1000m and 300m home location buffers);</li> <li>Land coverage estimates for the 'natural environment' compared to the 'built environment' (at 1000m and 300m home location buffers);</li> <li>Distance from home location to the coast.</li> </ul> The location used for each measurement was the participant's home at the time they were assessed in a UK Biobank centre. The date of the assessment visit is indicated in ~F53~.	There is evidence to suggest that where one lives can influence mental and physical health. Application 15374 focussed on analysis of mental health, diabetes, cardiovascular disease, obesity and physical activity. The aim was to understand the factors that mediate the relationship between the natural environment surrounding an individual and their physical and mental health. More specifically, the research sought to investigate associations between the environmental characteristics of participants' place of birth and current home location, and health outcomes (e.g. mental health and wellbeing, diabetes, cardiovascular disease and physical activity), with a focus on the questions: <ul> <li>Do individuals living in closer proximity to greenspace or blue space participate in more physical activity?</li> <li>Does proximity to greenspace or blue space influence mental health and wellbeing? Does physical activity mediate this?</li> <li>Are there associations between participants' place of birth and/or current living environment, and physical disease (specifically cardiovascular disease and diabetes)?</li> </ul> The Principal investigator was Dr Benedict Wheeler of the University of Exeter. <p> Note that some participants only have data available for one instance. The completeness of data across these fields is determined by the participant's country of residence since data-fields 24500-24505 are available for England only.
152	Process durations	0	1	To help UK Biobank optimise the use of equipment and staff time, many of the processes which occurred within the Assessment Centres were timed.	
153	Digestive health	0	1	Results of the on-line gastro-intestinal health self-assessment questionnaire issued in 2017.	
170	Exome sequences	0	1	The first tranche of UKBiobank whole exome sequencing (WES) is now available for ~50,000 UK Biobank participants. <p><b> To ensure equality of access the individual level data is currently embargoed to allow all researchers an opportunity to download the PLINK formatted data. The VCF files will be released by early-April followed by the CRAM files. Researchers who already have access to UK Biobank genetic data do NOT have to submit new baskets to request exome data - this will be done for them automatically by the Access team. </b> <p>This sample set prioritizes individuals with whole body MRI imaging data, enhanced baseline measurements, hospital episode statistics (HES), and/or linked primary care records. Additionally, one disease area was selected for enrichment: individuals with admission to hospital with a primary diagnosis of asthma (ICD10 J45 or J46). The sequenced set includes 194 parent-offspring pairs, 613 full-sibling pairs, including 26 trios, 1 monozygotic twin pair and 195 second degree genetically determined relationships. <p>Exomes were captured with the IDT xGen Exome Research Panel v1.0 including supplemental probes. The basic design targets 39Mbp of the human genome (19,396 genes). Multiplexed samples were sequenced with dual-indexed 75x75bp paired-end reads on the Illumina NovaSeq 6000 platform using S2 flow cells. In each sample and among targeted bases, coverage exceeds 20X at 94.6% of sites on average. Complete sequencing protocols are described in detail by the summary manuscript (add link when available). This manuscript also fully describes the "SPB" primary and secondary analysis pipeline that converts raw sequencing data to a quality-controlled set of population variation. The SPB pipeline first converted all raw sequencing data to FASTQs according to Illumina NovaSeq best practices and aligned those reads to the GRCh38 reference genome with BWA-mem to generate a CRAM file for each sample. After read-duplicate marking, SNVs and indels were called for with WeCall (GenomicsPLC), generating a gVCF per sample. These gVCFs were joint genotyped using GLnexus (~Ehttps://www.biorxiv.org/content/10.1101/572347v1~) to create a single, unfiltered project-level VCF (pVCF). Genotype depth filters (SNV DP&gt;7, indel DP&gt;10) were applied prior to variant site filters requiring at least one variant genotype passing an allele balance filter (heterozygous SNV AB&gt;0.15, heterozygous indel&lt;0.20), resulting in a second 'filtered' pVCF. A total of 4,735,722 variants are identified within targeted regions, with 9,693,536 variants identified across all covered bases including 100bp regions flanking the capture targets. <p>To maximize data utility and ease of use, an additional "Functionally Equivalent" (FE) pVCF was generated from FASTQs, following the primary analysis protocol described in the 2018 manuscript (PMID: 30279509) and then subject to GATK 3.0 variant calling and hard filtering of variants with inbreeding coefficient&lt;-0.03 or without at least one variant genotype of DP&ge;10, GQ&ge;20 and, if heterozygous, AB&ge;0.20.	
180	Whole genome sequences	0	1	Whole genome sequence results returned by BGI as part of a pilot exercise.	
181	BGI WGS pilot	0	1	During Q1/2018, UK Biobank made available a small number of samples to run 'proof-of-concept' whole genome sequencing to allow service providers be confident that their chosen technology platform would meet UK Biobank's quality requirements. As part of this, 48 samples (with an additional two blind spike duplicates) were provided to BGI. This category containts the results of this exercise. <p> The samples provided contained 100 microL total sample volume normalised to 20 nanograms/microL (2 nano-g total yield) and quantified via UV/VIS spectroscopy using Trinean DropSense 96 platform. BGI sequenced these using a BGISEQ-500 platform.	
182	Broad WGS pilot	0	1	During Q1/2018, UK Biobank made available a small number of samples to run 'proof-of-concept' whole genome sequencing to allow service providers be confident that their chosen technology platform would meet UK Biobank's quality requirements. As part of this, 48 samples (with an additional two blind spike duplicates) were provided to the Broad Institute (Harvard/MIT). This category contains the results of this exercise. <p> The samples provided contained 100 microL total sample volume normalised to 20 nanograms/microL (2 nano-g total yield) and quantified via UV/VIS spectroscopy using Trinean DropSense 96 platform. The Broad Institute sequenced these using an Illumina NovaSeq platform.	
190	Freesurfer ASEG	0	1	Data generated with Freesurfer by subcortical volumetric segmentation (aseg).	
191	Freesurfer subsegmentation	0	1	Data generated with Freesurfer by subcortical volumetric sub-segmentation of various regions (see individual Field Notes).	
192	Freesurfer desikan white	0	1	Data generated with Freesurfer by parcellation of the white surface using Desikan-Killiany parcellation.	
193	Freesurfer desikan pial	0	1	Data generated with Freesurfer by parcellation of the pial surface using Desikan-Killiany parcellation.	
194	Freesurfer desikan gw	0	1	Data generated with Freesurfer calculated as a percentage of the mean gray-white matter intensity from Desikan-Killiany parcellation.	
195	Freesurfer BA exvivo	0	1	Data generated with Freesurfer by parcellation of the white surface using BA_exvivo parcellation.	
196	Freesurfer DKT	0	1	Data generated with Freesurfer by parcellation of the white surface using DKT parcellation.	
197	Freesurfer a2009s	0	1	Data generated with Freesurfer by parcellation of the white surface using Destrieux (a2009s) parcellation.	
263	Genotypes	0	1	Genome-wide genetic data is available for 488,000 UK Biobank participants. <p> Genotype calling was performed by Affymetrix (now part of ThermoFisher Scientific) on two closely related purpose-designed arrays. ~50,000 participants were run on the UK BiLEVE Axiom array (~R149600~) and the remaining ~450,000 were run on the UK Biobank Axiom array (~R149601~). The dataset combines results from both arrays (see ~F22000~) and there are 805,426 markers in the released genotype data. The positions of markers in the data are in GRCh37 coordinates. It was not possible to assay genotypes for some participants (~3%) as sufficient DNA could not be extracted from their blood samples. <p> The genotype data were quality controlled (QC). In addition the dataset was phased and ~96M genotypes were imputed using computationally efficient methods combined with the Haplotype Reference Consortium and UK10K haplotype resources. Classical allelic variations at eleven HLA genes were imputed. Information from the QC pipeline, such as array, and important genetic properties of the data such as population structure and relatedness are available. <p>Details of these analyses, and the methods used to derive other data such as imputation and haplotypes, is given in: <br> Bycroft et al, "The UK Biobank resource with deep phenotyping and genomic data", <a class="basic" href="https://doi.org/10.1038/s41586-018-0579-z">Nature,562, pp 203-209 (2018)</a>, which Researchers using this data are asked to cite (~R530~). <p> The types of genetic data available are <ul> <li>Genotypes</li> <li>SNP and Sample QC information</li> <li>Imputed Genotypes</li> <li>Phased haplotypes</li> <li>Imputed classical HLA types</li> <li>Genotype intensities</li> <li>Genotype confidences</li> <li>Genotype SNP-posteriors</li> <li>Genotype B-allele-frequency and Log2Ratio</li> <li>Array definition files</li> </ul> <p> <i> <b>There was a problem with Version 2 of the Imputed Genotypes data - please ensure you are using Version 3. See ~L100319~ for details. </b> </i> <p>Please note that most of the fields in ~L100315~, ~L100319~ and ~L100035~ are indicators showing the availability of data. Researchers must use the ukbgene client (available from the Downloads section, instructions for use in ~R664~) to access the actual underlying genomic data or download them from the European Genome-phenome Archive (EGA). <p> Genomic results returned by researchers are available under ~L9001~. This section is expected to expand considerably later in the year.	The genetic data is split across a considerable number of files, described further in the various sub-categories, and a summary is given below. Details of the file formats are given in ~R531~. <p> <table border class="wrapper"> <tr><th>Data type</th><th>Class</th><th>Filename(s)</th><th>How to obtain</th></tr> <tr><td>Calls BED</td><td>Anon</td><td>ukb_cal_chrN_vZ.bed</td><td>EGA or ukbgene cal</td></tr> <tr><td>Calls BIM</td><td>Anon</td><td>ukb_snp_chrN_vZ.bim</td><td>~R1963~ ukb_snp_bim.tar</td> <tr> <tr><td>Calls FAM</td><td>Link</td><td>ukbA_cal_chrN_vZ_sP.fam</td><td>ukbgene cal -m</td></tr> <tr><td>Marker-QC</td><td>Static</td><td>ukb_snp_qc.txt</td><td>~R1955~ ukb_snp_qc.txt</td></tr> <tr><td>Sample-QC</td><td>Anon</td><td>ukb_sqc_vZ.txt</td><td>EGA or standard fields in ~L100313~</td></tr> <tr><td>Relatedness</td><td>Link</td><td>ukbA_rel_sP.txt</td><td>ukbgene rel</td></tr> <tr><td>Imputation BGEN</td><td>Anon</td><td>ukb_imp_chrN_vZ.bgen</td><td>EGA or ukbgene imp</td></tr> <tr><td>Imputation BGI</td><td>Anon</td><td>ukb_bgi_chrN_vZ.bgi</td><td>~R1965~ ukb_imp_bgi.tar</td></tr> <tr><td>Imputation MAF+info</td><td>Anon</td><td>ukb_mfi_chrN_vZ.txt</td><td>~R1967~ ukb_imp_mfi.tar</td></tr> <tr><td>Imputation sample</td><td>Link</td><td>ukbA_imp_chrN_vZ_sP.sample</td><td>ukbgene imp -m</td></tr> <tr><td>Haplotypes BGEN</td><td>Anon</td><td>ukb_hap_chrN_vZ.bgen</td><td>ukbgene hap</td></tr> <tr><td>Haplotypes BGI</td><td>Anon</td><td>ukb_hbg_chrN_vZ.bgi</td><td>~R1671~ ukb_hap_bgi.tar</td></tr> <tr><td>HLA Imputation</td><td>Anon</td><td>ukb_hla_vZ.txt</td><td>EGA or ~F22182~</td></tr> <tr><td>Intensity</td><td>Anon</td><td>ukb_int_chrN_vZ.bin</td><td>EGA or ukbgene int</td></tr> <tr><td>Confidences</td><td>Anon</td><td>ukb_con_chrN_vZ.txt</td><td>EGA or ukbgene con</td></tr> <tr><td>CNV log2r</td><td>Anon</td><td>ukb_l2r_chrN_vZ.txt</td><td>EGA or ukbgene l2r</td></tr> <tr><td>CNV baf</td><td>Anon</td><td>ukb_baf_chrN_vZ.txt</td><td>EGA or ukbgene baf</td></tr> <tr><td>SNP-posterior</td><td>Static</td><td>ukb_snp_posterior_chrN.bin</td><td>~R1817~ ukb_ snp_posterior.tar</td></tr> <tr><td>SNP-posterior X BIM</td><td>Static</td><td>ukb_snp_posterior_chrX_haploid.bim</td><td>~R1817~</td></tr> <tr><td>Batch</td><td>Static</td><td>ukb_snp_posterior.batch</td><td>~R1968~ ukb_snp_posterior.batch</td></tr> </table> <ul> <li>The Class of a file encompasses the nature of the data within it and the update strategy, see ~R532~ for full details.</li> <li>References to EGA mean that datafiles may be downloaded from the European Genome-Phenome Archive. </li> <li>References to ukbgene refer to a utility program that will shortly be made available on the Showcase website.</li> <li>In file names <ul> <li>A = application ID (integer);</li> <li>N = chromosome = 1,...,22,X,Y,XY,MT;</li> <li>Z = version of dataset (currently 2 for all files);</li> <li>P = number of linked samples (i.e.currently consenting participants) in dataset.</li> </ul> </ul> For detailed information on the factors affecting dataset versioning (Z and P) and how to keep the dataset contents and associated resources up to date see ~R664~. <p> A linux shell-script that will automate downloading the Resources is given in ~R534~. <p> A linux shell-script that will assist with downloading the bulk files is given in ~R533~.
347	Cardiac monitoring	0	1	Cardiac monitoring	
501	Matrix pattern completion	0	1	The participant was presented with a series of matrix pattern blocks with an element missing and asked to select the element that best completed the pattern from a range of displayed choices. <p> This test was introduced in 2016 at the Imaging Clinics.	
502	Symbol digit substitution	0	1	The participant was presented with one grid linking symbols to single-digit integers and a second grid containing only the symbols. They were then asked to indicate the numbers attached to each of the symbols in the second grid using the first one as a key. <p> This test was introduced in 2016 at the Imaging Clinics. <p> This measure was also performed online in ~L122~.	
